11:33:55.995531 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:33:55.995579 common-main.c:49             | d0 | main                     | start        |     |  0.000571 |           |              | git init git-bundle-test
11:33:55.995649 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | init (init)
11:33:55.995892 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:33:55.998581 git.c:785                    | d0 | main                     | exit         |     |  0.003580 |           |              | code:0
11:33:55.998609 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.003608 |           |              | code:0
11:33:56.405466 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:33:56.405505 common-main.c:49             | d0 | main                     | start        |     |  0.000566 |           |              | git config --get bundle.latestTimestamp
11:33:56.405633 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:33:56.405910 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | config (config)
11:33:56.406066 git.c:785                    | d0 | main                     | exit         |     |  0.001130 |           |              | code:1
11:33:56.406095 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001164 |           |              | code:1
11:34:28.546194 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:28.546235 common-main.c:49             | d0 | main                     | start        |     |  0.000618 |           |              | git bundle unbundle .git/bundles/0.bundle
11:34:28.546339 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:28.546648 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | bundle (bundle)
11:34:28.547192 run-command.c:738            | d0 | main                     | child_start  |     |  0.001579 |           |              | [ch0] class:? argv:[git index-pack --fix-thin --stdin]
11:34:28.549322 common-main.c:48             | d1 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:28.549355 common-main.c:49             | d1 | main                     | start        |     |  0.000512 |           |              | /usr/local/libexec/git-core/git index-pack --fix-thin --stdin
11:34:28.549466 repository.c:132             | d1 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:28.549605 git.c:523                    | d1 | main                     | cmd_name     |     |           |           |              | index-pack (bundle/index-pack)
11:34:34.371727 git.c:785                    | d1 | main                     | exit         |     |  5.822890 |           |              | code:0
11:34:34.371746 trace2/tr2_tgt_perf.c:213    | d1 | main                     | atexit       |     |  5.822911 |           |              | code:0
11:34:34.374211 run-command.c:993            | d0 | main                     | child_exit   |     |  5.828597 |  5.827018 |              | [ch0] pid:7954 code:0
11:34:34.374296 git.c:785                    | d0 | main                     | exit         |     |  5.828687 |           |              | code:0
11:34:34.374312 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  5.828703 |           |              | code:0
11:34:34.378603 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:34.378641 common-main.c:49             | d0 | main                     | start        |     |  0.000548 |           |              | git branch -f refs/bundles/2021-10-01 cefe983a320c03d7843ac78e73bd513a27806845
11:34:34.378757 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:34.378985 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | branch (branch)
11:34:34.380245 git.c:785                    | d0 | main                     | exit         |     |  0.002160 |           |              | code:0
11:34:34.380270 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.002185 |           |              | code:0
11:34:34.384075 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:34.384110 common-main.c:49             | d0 | main                     | start        |     |  0.000525 |           |              | git config --replace-all bundle.latestTimestamp 1632859613
11:34:34.384213 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:34.384439 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | config (config)
11:34:34.384820 git.c:785                    | d0 | main                     | exit         |     |  0.001242 |           |              | code:0
11:34:34.384846 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001268 |           |              | code:0
11:34:34.768635 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:34.768677 common-main.c:49             | d0 | main                     | start        |     |  0.000571 |           |              | git bundle unbundle .git/bundles/1.bundle
11:34:34.768792 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:34.769126 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | bundle (bundle)
11:34:34.792548 run-command.c:738            | d0 | main                     | child_start  |     |  0.024444 |           |              | [ch0] class:? argv:[git index-pack --fix-thin --stdin]
11:34:34.794669 common-main.c:48             | d1 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:34.794703 common-main.c:49             | d1 | main                     | start        |     |  0.000517 |           |              | /usr/local/libexec/git-core/git index-pack --fix-thin --stdin
11:34:34.794804 repository.c:132             | d1 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:34.794936 git.c:523                    | d1 | main                     | cmd_name     |     |           |           |              | index-pack (bundle/index-pack)
11:34:34.886590 git.c:785                    | d1 | main                     | exit         |     |  0.092409 |           |              | code:0
11:34:34.886610 trace2/tr2_tgt_perf.c:213    | d1 | main                     | atexit       |     |  0.092432 |           |              | code:0
11:34:34.888259 run-command.c:993            | d0 | main                     | child_exit   |     |  0.120156 |  0.095712 |              | [ch0] pid:7979 code:0
11:34:34.888375 git.c:785                    | d0 | main                     | exit         |     |  0.120277 |           |              | code:0
11:34:34.888407 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.120309 |           |              | code:0
11:34:34.893913 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:34.893952 common-main.c:49             | d0 | main                     | start        |     |  0.000589 |           |              | git branch -f refs/bundles/2021-10-4 0785eb769886ae81e346df10e88bc49ffc0ac64e
11:34:34.894062 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:34.894298 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | branch (branch)
11:34:34.894867 git.c:785                    | d0 | main                     | exit         |     |  0.001512 |           |              | code:0
11:34:34.894881 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001526 |           |              | code:0
11:34:34.897837 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:34.897861 common-main.c:49             | d0 | main                     | start        |     |  0.000375 |           |              | git config --replace-all bundle.latestTimestamp 1633322983
11:34:34.897932 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:34.898089 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | config (config)
11:34:34.898367 git.c:785                    | d0 | main                     | exit         |     |  0.000886 |           |              | code:0
11:34:34.898385 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.000904 |           |              | code:0
11:34:35.209581 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:35.209620 common-main.c:49             | d0 | main                     | start        |     |  0.000576 |           |              | git bundle unbundle .git/bundles/2.bundle
11:34:35.209785 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:35.210144 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | bundle (bundle)
11:34:35.239260 run-command.c:738            | d0 | main                     | child_start  |     |  0.030218 |           |              | [ch0] class:? argv:[git index-pack --fix-thin --stdin]
11:34:35.241541 common-main.c:48             | d1 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:35.241575 common-main.c:49             | d1 | main                     | start        |     |  0.000551 |           |              | /usr/local/libexec/git-core/git index-pack --fix-thin --stdin
11:34:35.241687 repository.c:132             | d1 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:35.241886 git.c:523                    | d1 | main                     | cmd_name     |     |           |           |              | index-pack (bundle/index-pack)
11:34:35.356821 git.c:785                    | d1 | main                     | exit         |     |  0.115803 |           |              | code:0
11:34:35.356841 trace2/tr2_tgt_perf.c:213    | d1 | main                     | atexit       |     |  0.115826 |           |              | code:0
11:34:35.358010 run-command.c:993            | d0 | main                     | child_exit   |     |  0.148968 |  0.118750 |              | [ch0] pid:7999 code:0
11:34:35.358143 git.c:785                    | d0 | main                     | exit         |     |  0.149107 |           |              | code:0
11:34:35.358165 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.149129 |           |              | code:0
11:34:35.363241 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:35.363276 common-main.c:49             | d0 | main                     | start        |     |  0.000527 |           |              | git branch -f refs/bundles/2021-10-7 106298f7f9cca4158a980de149ef217751e1f943
11:34:35.363379 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:35.363593 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | branch (branch)
11:34:35.364522 git.c:785                    | d0 | main                     | exit         |     |  0.001780 |           |              | code:0
11:34:35.364544 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001803 |           |              | code:0
11:34:35.368264 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:35.368295 common-main.c:49             | d0 | main                     | start        |     |  0.000483 |           |              | git config --replace-all bundle.latestTimestamp 1633552832
11:34:35.368392 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:35.368601 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | config (config)
11:34:35.368956 git.c:785                    | d0 | main                     | exit         |     |  0.001150 |           |              | code:0
11:34:35.368979 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001174 |           |              | code:0
11:34:35.893963 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:35.894006 common-main.c:49             | d0 | main                     | start        |     |  0.000613 |           |              | git bundle unbundle .git/bundles/3.bundle
11:34:35.894142 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:35.894477 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | bundle (bundle)
11:34:35.905483 run-command.c:738            | d0 | main                     | child_start  |     |  0.012093 |           |              | [ch0] class:? argv:[git index-pack --fix-thin --stdin]
11:34:35.907657 common-main.c:48             | d1 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:35.907692 common-main.c:49             | d1 | main                     | start        |     |  0.000549 |           |              | /usr/local/libexec/git-core/git index-pack --fix-thin --stdin
11:34:35.907799 repository.c:132             | d1 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:35.907943 git.c:523                    | d1 | main                     | cmd_name     |     |           |           |              | index-pack (bundle/index-pack)
11:34:36.049994 git.c:785                    | d1 | main                     | exit         |     |  0.142856 |           |              | code:0
11:34:36.050016 trace2/tr2_tgt_perf.c:213    | d1 | main                     | atexit       |     |  0.142880 |           |              | code:0
11:34:36.051226 run-command.c:993            | d0 | main                     | child_exit   |     |  0.157836 |  0.145743 |              | [ch0] pid:8026 code:0
11:34:36.051328 git.c:785                    | d0 | main                     | exit         |     |  0.157943 |           |              | code:0
11:34:36.051349 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.157964 |           |              | code:0
11:34:36.056125 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.056159 common-main.c:49             | d0 | main                     | start        |     |  0.000536 |           |              | git branch -f refs/bundles/2021-10-12 2a97289ad8b103625d3a1a12f66c27f50df822ce
11:34:36.056269 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.056501 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | branch (branch)
11:34:36.057491 git.c:785                    | d0 | main                     | exit         |     |  0.001875 |           |              | code:0
11:34:36.057514 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001899 |           |              | code:0
11:34:36.061284 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.061317 common-main.c:49             | d0 | main                     | start        |     |  0.000508 |           |              | git config --replace-all bundle.latestTimestamp 1633972934
11:34:36.061426 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.061655 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | config (config)
11:34:36.062069 git.c:785                    | d0 | main                     | exit         |     |  0.001267 |           |              | code:0
11:34:36.062098 trace2/tr2_tgt_perf.c:213    | d0 | main                     | atexit       |     |  0.001296 |           |              | code:0
11:34:36.197974 common-main.c:48             | d0 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.198017 common-main.c:49             | d0 | main                     | start        |     |  0.000626 |           |              | git bundle unbundle .git/bundles/4.bundle
11:34:36.198138 repository.c:132             | d0 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.198465 git.c:523                    | d0 | main                     | cmd_name     |     |           |           |              | bundle (bundle)
11:34:36.219447 run-command.c:738            | d0 | main                     | child_start  |     |  0.022058 |           |              | [ch0] class:? argv:[git index-pack --fix-thin --stdin]
11:34:36.221667 common-main.c:48             | d1 | main                     | version      |     |           |           |              | 2.33.0.vfs.0.0
11:34:36.221704 common-main.c:49             | d1 | main                     | start        |     |  0.000547 |           |              | /usr/local/libexec/git-core/git index-pack --fix-thin --stdin
11:34:36.221873 repository.c:132             | d1 | main                     | def_repo     | r1  |           |           |              | worktree:/_git/git-bundle-test
11:34:36.222033 git.c:523                    | d1 | main                     | cmd_name     |     |           |           |              | index-pack (bundle/index-pack)
11:34:36.295279 git.c:785                    | d1 | main                     | exit         |     |  0.074129 |           |              | code:0
